DetectorID 0; Response 356.507; Intrinsic Efficiency 0.827163
DetectorID 1; Response 434.765; Intrinsic Efficiency 0.889089
DetectorID 2; Response 524.275; Intrinsic Efficiency 0.926281
DetectorID 3; Response 614.667; Intrinsic Efficiency 0.846649
DetectorID 4; Response 685.591; Intrinsic Efficiency 0.923976
DetectorID 5; Response 713.014; Intrinsic Efficiency 1.05164
DetectorID 6; Response 685.591; Intrinsic Efficiency 0.976625
DetectorID 7; Response 614.667; Intrinsic Efficiency 0.929905
DetectorID 8; Response 524.275; Intrinsic Efficiency 0.91817
DetectorID 9; Response 434.765; Intrinsic Efficiency 0.902002
DetectorID 10; Response 685.591; Intrinsic Efficiency 0.922733
DetectorID 11; Response 1048.55; Intrinsic Efficiency 0.941248
DetectorID 12; Response 1782.54; Intrinsic Efficiency 0.94314
DetectorID 13; Response 3565.07; Intrinsic Efficiency 0.942642
DetectorID 14; Response 8912.68; Intrinsic Efficiency 0.931801
DetectorID 15; Response 17825.4; Intrinsic Efficiency 1.02339
DetectorID 16; Response 8912.68; Intrinsic Efficiency 0.938868
DetectorID 17; Response 3565.07; Intrinsic Efficiency 0.959642
DetectorID 18; Response 1782.54; Intrinsic Efficiency 0.966668
DetectorID 19; Response 1048.55; Intrinsic Efficiency 0.997669
